Variable, Level, n  , perc  , k1    , k2    , k1_perc_lj, k2_perc_lj
x01     , l1   , 112, 24.67 , 0.4412, 0.0   ,     1.7884,     0.0
x01     , l2   , 342, 75.33 , 0.5588, 1.0   ,     0.7418,     1.3275
x02     , l1   , 101, 22.247, 0.0   , 0.4423,     0.0   ,     1.9882
x02     , l2   , 128, 28.194, 0.0   , 0.5577,     0.0   ,     1.9781
x02     , l3   , 225, 49.559, 1.0   , 0.0   ,     2.0178,     0.0
x03     , l1   , 364, 80.176, 1.0   , 0.615 ,     1.2473,     0.7671
x03     , l2   ,  63, 13.877, 0.0   , 0.2724,     0.0   ,     1.963
x03     , l3   ,  27,  5.947, 0.0   , 0.1126,     0.0   ,     1.8933
