SubjID, x02, x03, x04, x05, x06, x07, x08, x09, x10, x11, x12, x13, x14, x15, x16, x17, x01
101059,   3,   1,   1,   4,   4,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   2,   1
101060,   2,   2,   1,   4,   3,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   2,   1
101061,   1,   1,   1,   3,   3,   3,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101062,   3,   1,   1,   3,   3,   3,   3,   1,   2,   2,   2,   2,   1,   1,   2,   1,   1
101063,   2,   1,   2,   2,   2,   3,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   1
101064,   1,   1,   3,   3,   1,   2,   3,   1,   1,   2,   1,   1,   1,   3,   2,   1,   1
101065,   1,   1,   1,   3,   3,   3,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101066,   3,   1,   2,   3,   3,   2,   4,   1,   1,   2,   2,   1,   1,   3,   2,   2,   1
101067,   3,   1,   1,   3,   3,   4,   4,   1,   1,   1,   2,   2,   1,   1,   2,   1,   1
101068,   2,   1,   1,   3,   3,   4,   3,   1,   1,   2,   1,   1,   1,   1,   2,   1,   1
101069,   1,   1,   2,   1,   1,   4,   3,   1,   1,   1,   1,   1,   1,   1,   2,   1,   1
101070,   2,   1,   2,   1,   1,   4,   3,   1,   2,   1,   2,   2,   1,   1,   2,   1,   1
101071,   3,   1,   1,   3,   3,   2,   4,   1,   1,   2,   1,   2,   1,   1,   2,   1,   1
101072,   3,   1,   1,   1,   1,   4,   4,   1,   1,   1,   1,   1,   1,   1,   2,   1,   1
101073,   3,   1,   2,   1,   1,   4,   2,   1,   1,   2,   1,   2,   1,   1,   2,   1,   1
101074,   1,   1,   2,   1,   1,   2,   2,   1,   1,   1,   3,   1,   1,   1,   2,   2,   1
101075,   2,   1,   2,   1,   1,   4,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101076,   2,   1,   2,   1,   1,   4,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101077,   2,   1,   2,   1,   1,   3,   4,   1,   2,   2,   1,   2,   1,   1,   2,   1,   1
101078,   3,   1,   2,   1,   1,   2,   3,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1
101079,   3,   1,   1,   3,   3,   4,   2,   1,   2,   1,   2,   1,   1,   1,   2,   1,   1
101080,   2,   1,   2,   1,   1,   2,   2,   1,   1,   1,   2,   1,   1,   1,   2,   1,   1
101081,   3,   1,   1,   3,   3,   4,   3,   1,   1,   2,   1,   1,   1,   1,   2,   1,   1
101082,   2,   1,   1,   3,   3,   4,   3,   1,   2,   2,   3,   1,   1,   1,   2,   1,   1
101083,   2,   2,   2,   4,   2,   2,   4,   1,   1,   1,   3,   2,   1,   1,   2,   2,   1
101084,   1,   2,   3,   4,   3,   3,   4,   1,   1,   1,   1,   2,   1,   1,   2,   2,   1
101085,   2,   2,   2,   4,   3,   2,   4,   1,   1,   1,   2,   2,   1,   1,   2,   2,   1
101086,   1,   1,   3,   3,   2,   2,   2,   1,   1,   2,   3,   1,   1,   1,   2,   1,   1
101087,   3,   2,   2,   4,   3,   1,   4,   1,   1,   1,   3,   1,   1,   1,   2,   1,   1
101088,   3,   1,   1,   3,   3,   4,   3,   1,   1,   2,   3,   1,   1,   1,   2,   2,   1
101089,   3,   2,   2,   4,   3,   4,   3,   1,   1,   2,   4,   2,   1,   1,   2,   1,   1
101090,   2,   1,   1,   2,   2,   4,   3,   1,   1,   1,   3,   1,   1,   1,   2,   1,   1
101091,   1,   1,   2,   3,   3,   4,   3,   1,   1,   2,   3,   1,   1,   1,   2,   1,   1
101092,   3,   1,   2,   3,   3,   2,   3,   1,   1,   2,   2,   1,   1,   1,   2,   2,   1
101093,   2,   1,   1,   3,   3,   1,   4,   1,   2,   1,   1,   2,   1,   1,   2,   2,   1
101094,   3,   1,   2,   1,   1,   4,   3,   1,   1,   2,   1,   1,   1,   1,   2,   2,   1
101095,   3,   1,   2,   3,   3,   2,   3,   1,   1,   2,   2,   1,   1,   1,   2,   2,   1
101096,   2,   1,   2,   1,   1,   3,   3,   1,   1,   1,   4,   1,   1,   1,   2,   1,   1
101097,   3,   1,   2,   3,   3,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101098,   3,   2,   2,   4,   3,   3,   4,   1,   1,   2,   1,   2,   1,   1,   2,   2,   1
101099,   2,   2,   2,   4,   3,   4,   4,   1,   1,   1,   4,   1,   1,   1,   2,   1,   1
101100,   3,   1,   1,   1,   1,   3,   3,   1,   2,   1,   3,   2,   1,   1,   2,   1,   1
101101,   3,   1,   1,   1,   1,   4,   2,   1,   2,   2,   2,   2,   1,   1,   2,   1,   1
101102,   1,   1,   2,   2,   2,   4,   4,   1,   1,   1,   3,   2,   1,   1,   2,   1,   1
101103,   2,   1,   1,   3,   3,   1,   3,   1,   1,   1,   3,   1,   1,   1,   2,   2,   1
101104,   3,   1,   2,   1,   1,   3,   3,   1,   1,   2,   4,   1,   1,   1,   2,   2,   1
101105,   2,   1,   1,   2,   2,   4,   3,   1,   1,   1,   3,   1,   1,   1,   2,   1,   1
101106,   3,   1,   2,   2,   2,   3,   2,   1,   1,   1,   1,   1,   1,   1,   2,   1,   1
101107,   3,   2,   2,   4,   3,   4,   4,   1,   1,   1,   1,   2,   1,   1,   2,   1,   1
101108,   1,   1,   1,   2,   2,   4,   2,   1,   1,   1,   2,   2,   1,   1,   2,   1,   1
101109,   2,   2,   2,   4,   3,   4,   2,   1,   1,   2,   1,   2,   1,   1,   2,   1,   1
101110,   2,   1,   2,   1,   1,   3,   2,   1,   2,   2,   2,   1,   1,   1,   2,   1,   1
101111,   2,   3,   1,   4,   3,   4,   4,   1,   1,   2,   2,   2,   1,   2,   2,   1,   1
101112,   2,   3,   2,   1,   1,   3,   2,   1,   2,   2,   1,   1,   1,   2,   2,   2,   1
